bce_weight,learning_rate,weight_decay
0.625,0.00013335214321633226,3.349654391578272e-08
0.025,0.007498942093324558,0.0011885022274370177
0.375,0.00023713737056616554,1.8836490894897982e-06
0.125,0.004216965034285823,7.498942093324559e-08
0.175,2.3713737056616554e-05,0.06683439175686146
0.475,1.333521432163324e-05,3.7583740428844433e-07
0.925,7.498942093324558e-06,0.01333521432163324
0.325,0.01333521432163324,9.440608762859225e-06
0.225,4.216965034285822e-05,1.4962356560944297e-08
0.875,0.042169650342858224,0.0026607250597988083
0.275,2.3713737056616552e-06,0.000530884444230988
0.975,7.498942093324559e-05,2.1134890398366435e-05
0.825,0.00042169650342858224,0.005956621435290103
0.775,0.001333521432163324,8.41395141645193e-07
0.075,1.333521432163324e-06,4.216965034285822e-06
0.725,0.0007498942093324559,0.00010592537251772875
0.525,0.07498942093324558,1.6788040181225588e-07
0.675,0.023713737056616554,4.7315125896148124e-05
0.575,4.216965034285822e-06,0.00023713737056616554
0.425,0.0023713737056616528,0.02985382618917959
